paper_references,keywords,max_delta,avg_delta,min_delta,avg_trend,max_trend,min_trend,peso_fonte,class
12,4,4,-1.7500,-12,46.0000,78,14,8,irrelevant
15,3,2,0.3333,-1,22.3333,44,0,8,irrelevant
10,3,2,-3.6667,-12,57.0000,81,14,8,relevant
13,5,6,3.0000,-1,39.4000,71,12,8,relevant
12,3,12,4.3333,0,31.6667,58,0,8,relevant
27,4,2,-1.0000,-9,29.2500,46,23,8,relevant
5,3,7,4.0000,2,18.3333,23,12,8,relevant
7,3,3,2.6667,2,23.0000,34,12,8,relevant
24,4,2,-1.0000,-9,29.2500,46,23,8,relevant
9,4,4,1.0000,-1,28.5000,69,0,8,relevant
8,12,6,-0.2500,-19,15.9167,58,0,8,relevant
18,5,10,2.8000,-1,22.8000,69,0,8,relevant
25,4,3,2.0000,1,12.0000,23,6,8,irrelevant
10,4,3,1.0000,-1,9.2500,23,0,8,relevant
14,4,2,-2.2500,-9,41.0000,81,14,8,relevant
18,5,5,-1.2000,-15,39.4000,71,12,8,relevant
9,4,1,0.2500,0,6.2500,20,0,8,relevant
12,3,8,4.0000,2,24.0000,31,18,8,irrelevant
25,2,4,1.5000,-1,41.5000,69,14,8,relevant
17,4,6,1.7500,-1,25.2500,46,6,8,relevant
24,5,6,3.0000,-1,39.4000,71,12,8,irrelevant
11,3,6,2.6667,0,5.3333,10,0,8,relevant
11,4,1,-0.5000,-3,7.7500,14,0,8,relevant
35,5,2,-0.2000,-5,39.4000,81,11,8,relevant
11,7,12,4.1429,0,19.8571,78,0,8,relevant
15,4,3,-0.2500,-5,47.2500,81,14,8,relevant
6,9,4,0.6667,-1,22.1111,81,0,8,relevant
10,4,1,0.2500,-1,14.0000,37,0,8,relevant
23,3,3,1.6667,0,11.6667,23,0,8,relevant
5,3,2,1.3333,0,19.0000,31,3,8,relevant
10,7,5,2.4286,0,22.2857,72,4,8,relevant
5,8,3,0.6250,-1,9.2500,14,0,8,relevant
8,3,1,0.3333,0,15.3333,37,0,8,relevant
13,3,2,1.0000,0,14.3333,37,0,8,relevant
13,5,6,3.0000,-1,39.4000,71,12,8,relevant
13,5,6,3.0000,-1,44.0000,94,12,8,relevant
16,4,2,-2.2500,-9,41.0000,81,14,8,relevant
9,8,4,-0.6250,-11,14.7500,76,0,8,relevant
10,8,2,-0.8750,-9,23.8750,81,0,8,relevant
9,4,12,6.2500,1,44.0000,58,36,8,relevant
31,10,0,0.0000,0,34.8000,100,0,9,relevant
0,5,0,-10.4000,-25,60.0000,100,0,9,irrelevant
10,4,31,0.0000,-31,35.2500,93,0,0,irrelevant
70,10,0,0.0000,0,18.4000,92,0,10,relevant
1,0,0,0.0000,0,0.0000,0,0,10,relevant
0,0,0,0.0000,0,0.0000,0,0,9,relevant
0,0,0,0.0000,0,0.0000,0,0,9,irrelevant
4,13,0,0.0000,0,22.3077,100,0,0,relevant
0,10,0,0.0000,0,51.7000,92,0,10,irrelevant
0,7,0,0.0000,0,39.8571,83,0,0,irrelevant
0,5,0,0.0000,0,53.0000,93,0,0,irrelevant
0,5,0,0.0000,0,65.6000,89,0,0,irrelevant
0,7,0,0.0000,0,54.0000,90,0,0,irrelevant
0,4,0,0.0000,0,66.7500,98,0,0,irrelevant
0,7,0,0.0000,0,42.0000,98,0,0,irrelevant
0,6,0,0.0000,0,49.6667,89,0,0,irrelevant
0,5,0,0.0000,0,45.2000,90,0,0,irrelevant
0,10,0,0.0000,0,38.8000,90,0,0,irrelevant
0,10,0,0.0000,0,41.8000,90,0,10,relevant
0,0,0,0.0000,0,0.0000,0,0,10,relevant
0,10,0,0.0000,0,63.2000,99,0,10,relevant
0,10,0,0.0000,0,34.4000,90,0,10,relevant
0,11,0,0.0000,0,56.8182,92,0,10,relevant
0,10,0,0.0000,0,49.9000,92,0,10,relevant
0,10,0,0.0000,0,41.8000,90,0,10,irrelevant
0,10,0,0.0000,0,62.2000,90,0,10,relevant
0,11,0,0.0000,0,65.0909,92,0,10,relevant
0,10,0,0.0000,0,63.5000,100,0,10,relevant
0,10,0,0.0000,0,67.9000,99,0,10,relevant
0,11,0,0.0000,0,37.2727,92,0,10,irrelevant
0,13,0,0.0000,0,43.3846,90,0,10,relevant
0,10,0,0.0000,0,57.0000,90,0,10,relevant
0,15,0,0.0000,0,39.6000,100,0,10,relevant
0,10,0,0.0000,0,48.0000,92,0,10,relevant
0,10,0,0.0000,0,70.5000,92,0,10,relevant
0,10,0,0.0000,0,43.3000,100,0,10,relevant
0,8,0,0.0000,0,39.7500,90,0,10,irrelevant
0,13,0,0.0000,0,49.2308,92,0,10,irrelevant
0,12,0,0.0000,0,62.8333,99,0,10,relevant
0,11,0,0.0000,0,58.1818,91,0,10,relevant
0,11,0,0.0000,0,37.3636,92,0,10,relevant
