Methodo,Strategy,estimator,accvar10,accvar20,Base
Ada Boosting,10-fold,AD,0.7377197752401667,0.7379010331702012,Original
Ada Boosting,10-fold,k-NN,0.5628058727569332,0.5628058727569332,Original
Ada Boosting,10-fold,NB,0.7120717781402937,0.713431212615552,Original
Ada Boosting,10-fold,MLP,0.7577487765089723,0.7607395323545405,Original
Ada Boosting,90/10,AD,0.7454710144927537,0.7490942028985508,Original
Ada Boosting,90/10,k-NN,0.5706521739130435,0.5706521739130435,Original
Ada Boosting,90/10,NB,0.7309782608695652,0.7309782608695652,Original
Ada Boosting,90/10,MLP,0.7644927536231884,0.7581521739130435,Original
Ada Boosting,80/20,AD,0.7394653375623018,0.7331218849116448,Original
Ada Boosting,80/20,k-NN,0.5831445400996829,0.5831445400996829,Original
Ada Boosting,80/20,NB,0.7036701404621658,0.7036701404621658,Original
Ada Boosting,80/20,MLP,0.7489805165382872,0.7498867240598097,Original
Ada Boosting,70/30,AD,0.7417698580489278,0.7405617638175778,Original
Ada Boosting,70/30,k-NN,0.5756569012382966,0.5756569012382966,Original
Ada Boosting,70/30,NB,0.7009966777408638,0.7009966777408638,Original
Ada Boosting,70/30,MLP,0.7508305647840532,0.7544548474781033,Original
Bagging 1,10-fold,AD,0.6721044045676998,0.6802610114192496,Original
Bagging 1,10-fold,k-NN,0.6487221315932572,0.6787203190139568,Original
Bagging 1,10-fold,NB,0.6078484683704912,0.6340402392604676,Original
Bagging 1,10-fold,MLP,0.6819829617545767,0.6800797534892151,Original
Bagging 1,90/10,AD,0.6856884057971014,0.6847826086956522,Original
Bagging 1,90/10,k-NN,0.6938405797101449,0.677536231884058,Original
Bagging 1,90/10,NB,0.6023550724637681,0.6322463768115942,Original
Bagging 1,90/10,MLP,0.7038043478260869,0.6920289855072463,Original
Bagging 1,80/20,AD,0.6773901223380154,0.6778432260987767,Original
Bagging 1,80/20,k-NN,0.6266425011327594,0.6819211599456275,Original
Bagging 1,80/20,NB,0.6098776619845945,0.6479383778885365,Original
Bagging 1,80/20,MLP,0.663797009515179,0.6746714997734481,Original
Bagging 1,70/30,AD,0.6653578979160375,0.6732105104198127,Original
Bagging 1,70/30,k-NN,0.6442162488674117,0.6774388402295379,Original
Bagging 1,70/30,NB,0.6064633041377228,0.6369676834793114,Original
Bagging 1,70/30,MLP,0.6753246753246753,0.6698882512836001,Original
Bagging 0.3,10-fold,AD,0.7057277505890882,0.6951241616820736,Original
Bagging 0.3,10-fold,k-NN,0.6953960485771252,0.709352909189777,Original
Bagging 0.3,10-fold,NB,0.5909914808772884,0.5948885263730288,Original
Bagging 0.3,10-fold,MLP,0.6838861700199383,0.6911364872213159,Original
Bagging 0.3,90/10,AD,0.7164855072463768,0.6911231884057971,Original
Bagging 0.3,90/10,k-NN,0.6865942028985508,0.6992753623188406,Original
Bagging 0.3,90/10,NB,0.5833333333333334,0.5887681159420289,Original
Bagging 0.3,90/10,MLP,0.7028985507246377,0.6911231884057971,Original
Bagging 0.3,80/20,AD,0.6959673765292252,0.6946080652469415,Original
Bagging 0.3,80/20,k-NN,0.6964204802899864,0.7172632532850023,Original
Bagging 0.3,80/20,NB,0.5881286814680562,0.5976438604440417,Original
Bagging 0.3,80/20,MLP,0.6873584050747621,0.68282736746715,Original
Bagging 0.3,70/30,AD,0.6970703714889761,0.6970703714889761,Original
Bagging 0.3,70/30,k-NN,0.7003926306251888,0.7022047719722139,Original
Bagging 0.3,70/30,NB,0.5898520084566596,0.5974025974025974,Original
